Device: PM2003001		2022:11:01    10:17:56,251  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4170mV ST:2 ERR:0010;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	1
Current Channel Gain:	1
Voltmeter Range, V:	3,0
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:01    10:17:56,312
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	72268,471	68346,940	52956,803	113214,488	21381,837	34348,585	8079,773	21210,263	32586,809	-4399,177	2128,443	10866,924	14627,650	8838,503	7606,314	11209,032	-9597,161	10578,755	11730,079	4894,420	-11402,443	15069,294	-254,620	-21928,911	-1580,972	-6830,688	-13735,719	-2327,157	-5759,775	-2143,118	0,192	0,059
1,000	20761,958	30347,934	188995,585	-8964,717	2859,229	14590,434	12762,059	1991,460	-2835,542	524,776	-4474,422	789,541	1078,993	1497,012	793,811	-9339,624	5371,733	82705,298	11257,990	-3076,234	-1684,615	-4942,242	-1500,304	4514,528	593,670	5533,493	-1021,295	-2009,268	-1088,296	-564,652	0,007	0,059
2,000	7534,916	7531,902	5733,650	-3246,637	-244,800	1270,360	-681,611	3261,981	-742,506	1196,071	437,250	2327,186	1498,263	1368,264	1345,203	20141,948	15993,599	2714,618	-664,908	-1176,573	-3003,071	2341,086	-1732,644	-1053,060	-418,493	680,783	-864,197	-1587,043	-1133,094	-876,079	0,037	0,059
3,000	49387,122	-10973,475	6123,411	88493,601	-553,747	1054,942	3247,261	3334,709	2237,220	254,290	63,164	1082,791	372,857	884,461	741,654	525,281	3723,538	8111,824	-15388,801	-2232,550	2123,127	3086,293	419,288	-1580,281	1824,586	-678,398	-1155,457	192,496	-710,701	-453,441	0,009	0,059
4,000	41042,269	19568,772	-7158,437	-5398,400	-838,848	9197,565	14914,705	2530,759	-1079,021	11854,299	9303,677	189,552	7186,584	4938,855	6730,409	-22315,241	7338,561	9663,994	1843,943	1910,246	-7237,263	-11803,675	2371,864	-12077,040	-8291,443	-9698,667	-6520,986	-2127,718	-3429,104	-1497,126	0,047	0,059
5,000	44082,183	29832,827	19805,541	9246,114	-6613,166	-10382,839	-126,504	-253,094	-3396,657	4818,901	-3600,007	44,080	4886,343	-4545,886	2285,302	26869,645	51924,837	37560,348	-10911,604	3239,116	1567,325	-5473,775	-1797,959	4111,099	-2563,933	-541,632	339,169	-1518,153	-2140,448	-1563,346	0,025	0,059
6,000	-4638,428	-3870,518	-998,014	1481,718	1234,598	654,675	714,887	716,083	1221,334	246,019	1476,615	1174,120	2628,400	989,819	1153,820	1905,918	3378,519	-567,733	542,808	271,515	75,932	906,177	-735,749	-507,266	-147,346	-1836,410	104,725	-701,354	-807,473	-465,134	0,034	0,059
7,000	26677,331	-26591,293	28140,013	2832,415	-13263,112	13715,693	7033,781	-3918,450	1671,107	1274,751	-2143,001	71,162	-734,120	-2758,167	-2043,874	10357,294	-19472,320	27387,492	-3277,817	-671,883	-4935,404	-3603,116	-608,095	-247,363	-626,140	588,369	-205,945	-80,325	1834,602	45,220	0,007	0,059
8,000	40408,859	-2095,506	-17371,250	2885,907	2318,752	2095,588	329,886	643,185	6188,883	8434,940	2169,929	-1884,383	1849,751	3393,189	2034,829	132,486	21324,986	13734,479	-8760,229	-578,715	-5582,935	-6472,751	-1382,537	-6369,695	4043,502	-3995,391	-973,159	-3165,761	-1825,790	-741,811	0,040	0,059
9,000	57567,091	53670,081	39940,792	-2794,449	14138,607	1629,580	3809,117	800,781	2748,205	-79,883	-1612,180	-1151,283	589,323	1405,402	1790,221	-4933,534	95023,922	17696,373	-7771,860	7768,718	-5264,856	17370,996	431,986	-9755,192	-5350,037	-1167,308	-3088,219	-2148,997	-1234,514	-1463,277	0,050	0,059
10,000	513064,287	-528926,070	108787,421	6373,537	90916,625	36388,591	39397,572	-97914,542	-18773,910	16310,076	335,396	20117,220	2554,642	7311,113	5224,302	-111462,138	89795,924	-28192,940	42769,184	161275,150	-83500,046	13952,650	-36946,723	9331,635	2192,352	5461,122	-19916,205	-9953,476	-5382,353	577,488	2,439	0,066
11,000	35591,125	36781,664	24498,409	15956,131	24301,496	-3288,600	-12824,927	-950,080	11021,666	-1933,794	2581,863	2383,564	2552,489	2283,258	2510,572	-6752,645	-12277,757	6472,874	-4488,233	11441,861	23930,039	15387,561	-9917,193	-5490,058	-244,137	-3676,897	-100,893	-1855,907	-473,439	-488,562	0,270	0,066
12,000	73275,148	-38151,142	-21828,588	4566,175	14037,628	-27332,821	7636,847	891,720	-357,790	1590,383	7057,523	440,772	1572,983	162,908	321,987	-2160,651	86298,448	14445,717	6264,934	-7850,542	-14602,458	3496,330	21973,288	-3296,220	-170,245	-182,414	175,632	-1142,026	753,881	-423,216	0,116	0,059
