Device: PM2003001		2022:09:20    10:42:59,897  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4170mV ST:2 ERR:0010;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	FIXED:  6


2022:09:20    10:42:59,949
		Re, ohm   @frequency, Hz															Im, ohm   @frequency, Hz	
Time, s	Mux pos	1k	2k	3k	7k	11k	17k	23k	31k	43k	61k	89k	127k	179k	251k	349k	1k	2k	3k	7k	11k	17k	23k	31k	43k	61k	89k	127k	179k	251k	349k	U, V	I , mA


  0,0000	  2,0000	-24,0018	 59,6021	945,0200	-251,6077	789,0480	703,5404	7704,9219	8988,5513	-45077,0119	334,3569	-5322,6286	-6990,3137	-10921,2394	-8737,9107	-11943,2903	147,6076	-314,6822	-572,7705	1329,6690	-5717,5016	-3818,5079	6057,9594	3780,9500	-13263,0719	5037,7133	8278,4123	788,3774	5086,5437	434,5800	2400,1859	  0,1447	  0,0806
  0,0020	  3,0000	136,9772	-415,9809	1331,8731	7348,2194	2794,2036	886,7558	25094,5005	3440,4485	13051,4566	13619,1551	22578,7958	20490,6167	23756,3360	27065,5538	25518,4451	223,4882	-296,4750	1026,8124	-2760,7515	-8521,0734	-10078,8561	6907,6635	-15670,6190	361,4576	1286,4169	-4283,1888	1226,8603	4966,8394	5670,0148	1167,5492	  0,1942	  0,0659
  0,0030	  3,0000	242,9319	-787,2089	-885,9088	208,2555	5829,6274	-5382,7553	17104,4335	20246,3679	14268,3239	17976,5309	31213,0319	27106,5478	28827,1968	26311,3146	27391,3894	-233,3033	-511,6815	-1056,9129	-2289,5805	2996,6050	-8441,5863	-2187,3257	-1867,0858	-13771,9471	3571,4620	10397,9351	-939,0479	1879,7394	-1816,2573	-2046,0680	  0,1937	  0,0659
  0,0040	  3,0000	450,1695	-782,0206	988,3379	1368,5286	-8045,8096	4606,4831	6381,1299	11230,4562	20082,3144	21294,5209	17635,7262	19199,9526	23507,7519	27542,9187	26163,0313	716,8240	-378,5725	2656,6952	-5469,0152	5110,5496	-5811,6862	-13198,0439	-1180,6833	3041,0396	4368,5457	6951,4653	816,0993	-368,6680	3296,7023	-1697,1563	  0,1937	  0,0659
  0,0050	  3,0000	406,6639	474,9966	251,3864	280,0674	-3161,7776	-10715,4936	8762,0902	11321,1085	10388,6223	31768,0503	18786,1906	17576,1044	29531,4200	29344,0845	33607,1570	-53,8841	712,8925	944,9269	-2292,9475	11901,5492	48101,3204	-2360,4723	-2785,6413	-4177,2715	2919,8187	4593,5296	5584,2276	-773,3747	4177,6408	1512,2557	  0,1937	  0,0659
  0,0070	  4,0000	329,7513	742,7680	658,8593	4198,4418	-591,4396	-7940,3430	34214,7184	-9486,2567	-11424,2274	-5453,6770	-21432,6172	-35914,1472	-28013,7505	-40358,6760	-35283,7088	348,5572	324,6350	1669,6158	1802,9251	3337,4358	-5425,3091	-20966,1922	-493,1486	7197,9928	20696,7513	22491,4752	12850,0068	7402,3040	4678,9863	-2867,2283	  0,1635	  0,0586
  0,0080	  4,0000	195,6153	-865,1794	1347,8170	2216,0935	-1989,3772	-9171,2630	548,7761	-8526,1448	-7988,0305	-32252,7393	-59916,5373	-29058,5226	-21858,5333	-31441,5489	-31874,6983	-564,6384	998,3587	-491,4120	2856,4082	34906,9202	-21647,6363	9105,7411	3791,6666	20056,7025	-8785,9271	26093,7108	2593,9844	6589,1230	-4762,0456	862,2763	  0,1641	  0,0586
  0,0090	  4,0000	1675,6770	450,9025	-1440,5345	399,3074	-1311,3313	-6359,3651	-6601,2188	-12659,8114	-37972,6668	-21309,8304	-39478,9812	-18944,5929	-20822,4972	-43154,1444	-34428,0486	1376,3025	1391,6068	515,8271	2082,6334	5055,2739	6535,6231	3965,5654	26073,6533	-12860,8028	-8182,2133	4002,0367	7938,4326	4607,7256	-7855,3097	-3459,6557	  0,1646	  0,0586
