Device: PM2003001		2022:11:08    11:33:34,096  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:33:34,100
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,453	-13,521	-13,567	-13,656	-13,689	-13,702	-13,717	-13,729	-13,723	-13,737	-13,727	-13,700	-13,651	-13,559	-13,445	-0,213	-0,187	-0,170	-0,119	-0,101	-0,064	-0,037	-0,027	-0,005	0,034	0,072	0,120	0,168	0,195	0,160	0,000	0,000
1,000	-17,238	-17,219	-17,127	-16,878	-16,695	-16,568	-16,499	-16,440	-16,373	-16,334	-16,275	-16,223	-16,157	-16,052	-15,934	0,040	0,213	0,292	0,407	0,417	0,374	0,347	0,318	0,287	0,262	0,263	0,260	0,258	0,254	0,190	0,000	0,000
2,000	-10,771	-10,750	-10,708	-10,542	-10,438	-10,358	-10,316	-10,278	-10,222	-10,183	-10,117	-10,031	-9,926	-9,766	-9,577	0,072	0,142	0,204	0,270	0,277	0,254	0,260	0,260	0,263	0,276	0,310	0,346	0,370	0,373	0,279	0,000	0,000
3,000	-21,615	-21,528	-21,450	-21,050	-20,839	-20,687	-20,615	-20,556	-20,500	-20,494	-20,458	-20,419	-20,363	-20,255	-20,129	0,162	0,340	0,439	0,549	0,503	0,415	0,354	0,308	0,261	0,219	0,213	0,227	0,241	0,255	0,195	0,000	0,000
4,000	-11,565	-11,662	-11,599	-11,619	-11,594	-11,601	-11,601	-11,597	-11,587	-11,576	-11,532	-11,466	-11,343	-11,137	-10,870	-0,316	-0,099	-0,077	-0,001	0,021	0,045	0,064	0,083	0,119	0,176	0,254	0,337	0,424	0,475	0,383	0,000	0,000
5,000	-11,434	-11,215	-11,264	-11,244	-11,209	-11,192	-11,174	-11,170	-11,143	-11,149	-11,107	-11,041	-10,946	-10,770	-10,550	0,602	0,266	0,190	0,141	0,115	0,096	0,109	0,124	0,143	0,161	0,220	0,287	0,355	0,396	0,315	0,000	0,000
6,000	-5,557	-5,169	-4,996	-4,793	-4,693	-4,644	-4,615	-4,589	-4,555	-4,530	-4,493	-4,445	-4,368	-4,247	-4,095	1,408	0,937	0,731	0,455	0,363	0,281	0,255	0,219	0,212	0,215	0,229	0,252	0,273	0,290	0,226	0,000	0,000
7,000	-6,427	-6,215	-6,117	-5,986	-5,914	-5,880	-5,866	-5,851	-5,827	-5,828	-5,813	-5,799	-5,780	-5,742	-5,702	0,507	0,391	0,324	0,237	0,185	0,140	0,126	0,113	0,098	0,080	0,080	0,083	0,086	0,085	0,060	0,000	0,000
8,000	-20,072	-20,322	-20,355	-20,524	-20,532	-20,591	-20,628	-20,655	-20,683	-20,731	-20,757	-20,773	-20,776	-20,740	-20,699	-0,556	-0,360	-0,327	-0,228	-0,180	-0,179	-0,161	-0,154	-0,128	-0,116	-0,072	-0,031	-0,001	0,043	0,045	0,000	0,000
9,000	-9,561	-9,539	-9,462	-9,263	-9,122	-9,010	-8,941	-8,890	-8,838	-8,797	-8,749	-8,694	-8,617	-8,504	-8,369	0,029	0,144	0,227	0,344	0,354	0,318	0,302	0,278	0,258	0,246	0,254	0,269	0,282	0,278	0,210	0,000	0,000
10,000	-9,481	-9,533	-9,416	-9,315	-9,234	-9,209	-9,185	-9,168	-9,148	-9,144	-9,121	-9,083	-9,025	-8,931	-8,825	-0,129	0,091	0,114	0,166	0,144	0,132	0,125	0,115	0,112	0,126	0,145	0,162	0,193	0,211	0,164	0,000	0,000
11,000	-9,527	-9,444	-9,413	-9,280	-9,210	-9,157	-9,124	-9,101	-9,074	-9,054	-9,022	-8,974	-8,915	-8,815	-8,699	0,057	0,119	0,149	0,197	0,191	0,165	0,160	0,151	0,156	0,157	0,182	0,204	0,222	0,231	0,176	0,000	0,000
